BAB72548	alr0590
BAB72549	all0591
BAB72550	all0592
BAB72551	alr0593
BAB72552	all0594
BAB72553	asl0595
BAB72554	all0596
BAB72555	asl0597
BAB72556	alr0598
BAB72557	alr0599
BAB72558	alr0600
BAB72559	all0601
BAB72560	
BAB72561	all0603
BAB72562	all0604
BAB72563	all0605
BAB72564	
BAB72565	
BAB72566	alr0608
BAB72567	
BAB72568	
BAB72569	
BAB72570	
BAB72571	alr0613
BAB72572	alr0614
BAB72573	all0615
BAB72574	alr0616
BAB72575	alr0617
BAB72576	alr0618
BAB72577	all0619
BAB72578	all0620
BAB72579	all0621
BAB72580	alr0622
BAB72581	all0623
BAB72582	
BAB72583	all0625
BAB72584	all0626
BAB72585	alr0627
BAB72586	asl0628
BAB72587	asl0629
BAB72588	all0630
BAB72589	all0631
BAB72590	all0632
BAB72591	asl0633
BAB72592	all0634
BAB72593	all0635
BAB72594	asr0636
BAB72595	all0637
BAB72596	all0638
BAB72597	asl0639
BAB72598	all0640
BAB72599	all0641
BAB72600	alr0642
BAB72601	alr0643
BAB72602	alr0644
BAB72603	alr0645
BAB72604	all0646
BAB72605	alr0647
BAB72606	all0648
BAB72607	asr0649
BAB72608	all0650
BAB72609	alr0651
BAB72610	alr0652
BAB72611	alr0653
BAB72612	asr0654
BAB72613	alr0655
BAB72614	alr0656
BAB72615	
BAB72616	alr0658
BAB72617	all0659
BAB72618	asl0660
BAB72619	all0661
BAB72620	asl0662
BAB72621	alr0663
BAB72622	all0664
BAB72623	all0665
BAB72624	all0666
BAB72625	all0667
BAB72626	alr0668
BAB72627	alr0669
BAB72628	asr0670
BAB72629	alr0671
BAB72630	alr0672
BAB72631	asl0673
BAB72632	asr0674
BAB72633	all0675
BAB72634	
BAB72635	alr0677
BAB72637	alr0679
BAB72638	asr0680
BAB72639	alr0681
BAB72640	asr0682
BAB72641	alr0683
BAB72642	all0684
BAB72643	alr0685
BAB72644	all0686
BAB72645	all0688
BAB72646	asr0689
BAB72647	asr0690
BAB72648	alr0691
BAB72649	alr0692
BAB72650	alr0693
BAB72651	
BAB72652	
BAB72653	
BAB72654	asr0697
BAB72655	
BAB72656	alr0699
BAB72657	
BAB72658	asr0701
BAB72659	alr0702
BAB72660	all0703
BAB72661	alr0704
BAB72662	asr0705
BAB72663	all0706
BAB72664	all0707
BAB72665	all0708
BAB72666	alr0709
BAB72667	alr0710
BAB72668	all0711
BAB72669	all0712
BAB72670	all0713
BAB72671	all0714
BAB72672	asl0715
BAB72673	asl0716
BAB72674	alr0717
BAB72675	alr0718
BAB72676	alr0719
BAB72677	alr0720
BAB72678	all0721
BAB72679	alr0722
BAB72680	all0723
BAB72681	asl0724
BAB72682	alr0725
BAB72683	all0726
BAB72684	all0727
BAB72685	alr0728
BAB72686	all0729
BAB72687	alr0730
BAB72688	alr0731
BAB72690	alr0733
BAB72691	alr0734
BAB72692	alr0735
BAB72693	all0736
BAB72694	all0737
BAB72695	alr0738
BAB72696	alr0739
BAB72697	alr0740
BAB72698	alr0741
BAB72699	asr0742
BAB72700	
BAB72701	alr0744
BAB72702	all0745
BAB72703	all0746
BAB72704	
BAB72705	all0748
BAB72706	asl0749
BAB72707	alr0750
BAB72708	alr0751
BAB72709	
BAB72710	all0753
BAB72711	all0754
BAB72712	asr0755
BAB72713	asr0756
BAB72714	asr0757
BAB72715	alr0758
BAB72716	all0759
BAB72717	alr0760
BAB72718	alr0761
BAB72719	
BAB72720	alr0763
BAB72721	
BAB72722	alr0765
BAB72723	
BAB72724	all0767
BAB72725	all0768
BAB72726	all0769
BAB72727	all0770
BAB72728	all0771
BAB72729	all0772
BAB72730	asr0773
BAB72731	alr0774
BAB72732	all0775
BAB72733	alr0776
BAB72734	all0777
BAB72735	all0778
BAB72736	asl0779
BAB72737	asr0780
BAB72738	all0781
BAB72739	alr0782
BAB72740	all0783
BAB72741	alr0784
BAB72742	asr0785
BAB72743	alr0786
BAB72744	alr0787
BAB72745	all0788
BAB72746	alr0789
BAB72747	alr0790
BAB72748	alr0791
BAB72749	all0792
BAB72750	asl0793
BAB72751	all0794
BAB72752	asl0795
BAB72753	all0796
BAB72754	all0797
BAB72755	asr0798
BAB72756	alr0799
BAB72757	all0800
BAB72758	all0801
BAB72759	all0802
BAB72760	alr0803
BAB72761	alr0804
BAB72762	alr0805
BAB72763	alr0806
BAB72764	all0807
BAB72765	all0808
BAB72766	all0809
BAB72767	alr0810
BAB72768	alr0811
BAB72769	alr0812
BAB72770	
BAB72771	asl0814
BAB72772	asl0815
BAB72773	alr0816
BAB72774	asl0817
BAB72775	asl0818
BAB72776	alr0819
BAB72777	alr0820
BAB72778	alr0821
BAB72779	asl0822
BAB72780	all0823
BAB72781	all0824
BAB72782	all0825
BAB72783	asl0826
BAB72784	all0827
BAB72785	alr0828
BAB72786	asl0829
BAB72787	all0830
BAB72788	alr0831
BAB72789	all0832
BAB72790	all0833
BAB72791	alr0834
BAB72792	all0835
BAB72793	asl0836
BAB72794	asr0837
BAB72795	alr0838
BAB72796	all0839
BAB72797	alr0840
BAB72798	alr0841
BAB72799	asl0842
BAB72800	asr0843
BAB72801	all0844
BAB72802	asl0845
BAB72803	asl0846
BAB72804	asr0847
BAB72805	all0848
BAB72806	alr0849
BAB72807	all0850
BAB72808	alr0851
BAB72809	all0852
BAB72810	all0853
BAB72811	all0854
BAB72812	asr0855
BAB72813	alr0856
BAB72814	alr0857
BAB72815	all0858
BAB72816	all0859
BAB72817	all0860
BAB72818	all0861
BAB72819	all0862
BAB72820	
BAB72821	
BAB72822	
BAB72823	
BAB72824	
BAB72825	
BAB72826	
BAB72827	
BAB72828	alr0871
BAB72829	all0872
BAB72830	asl0873
BAB72831	alr0874
BAB72832	all0875
BAB72833	all0876
BAB72834	alr0877
BAB72835	all0878
BAB72836	all0879
BAB72837	alr0880
BAB72838	asl0881
BAB72839	alr0882
BAB72840	asl0883
BAB72841	asl0884
BAB72842	asl0885
BAB72843	all0886
BAB72844	all0887
BAB72845	all0888
BAB72846	all0889
BAB72847	asr0890
BAB72848	all0891
BAB72849	alr0892
BAB72850	alr0893
BAB72851	alr0894
BAB72852	alr0895
BAB72853	alr0896
BAB72854	alr0897
BAB72855	alr0898
BAB72856	all0899
BAB72857	alr0900
BAB72858	alr0901
BAB72859	all0902
BAB72860	all0903
BAB72861	alr0904
BAB72862	asr0905
BAB72863	all0906
BAB72864	all0907
BAB72865	all0908
BAB72866	all0909
BAB72867	all0910
BAB72868	all0911
BAB72869	alr0912
BAB72870	alr0913
BAB72871	all0914
BAB72872	all0915
BAB72873	all0916
BAB72874	all0917
BAB72875	all0918
BAB72876	all0919
BAB72877	alr0920
BAB72878	all0921
BAB72879	alr0922
BAB72880	asr0923
BAB72881	all0924
BAB72882	asr0925
BAB72883	all0926
BAB72884	all0927
BAB72885	
BAB72886	all0929
BAB72887	all0930
BAB72888	alr0931
BAB72889	all0932
BAB72890	alr0933
BAB72891	all0934
BAB72892	all0935
BAB72893	all0936
BAB72894	all0937
BAB72895	all0938
BAB72896	alr0939
BAB72897	asl0940
BAB72898	asr0941
BAB72899	alr0942
BAB72900	alr0943
BAB72901	alr0944
BAB72902	all0945
BAB72903	alr0946
BAB72904	alr0947
BAB72905	all0948
BAB72906	all0949
BAB72907	
BAB72908	
BAB72909	
BAB72910	alr0953
BAB72911	all0954
BAB72912	all0955
BAB72913	all0956
BAB72914	alr0957
BAB72915	all0958
BAB72916	all0959
BAB72917	
BAB72918	all0961
BAB72919	all0962
BAB72920	alr0963
BAB72921	alr0964
BAB72922	alr0965
BAB72923	all0966
BAB72924	all0967
BAB72925	
BAB72926	all0969
BAB72927	alr0970
BAB72928	alr0971
BAB72929	alr0972
BAB72930	alr0973
BAB72931	alr0974
BAB72932	alr0975
BAB72933	all0976
BAB72934	asl0977
BAB72935	all0978
BAB72936	all0979
BAB72937	all0980
BAB72938	alr0981
BAB72939	all0982
BAB72940	all0983
BAB72941	all0984
BAB72942	all0985
BAB72943	alr0986
BAB72944	alr0987
BAB72945	all0988
BAB72946	
BAB72947	alr0990
BAB72948	alr0991
BAB72949	alr0992
BAB72950	all0993
BAB72951	asl0994
BAB72952	all0995
BAB72953	alr0996
BAB72954	all0997
BAB72955	alr0998
BAB72956	alr0999
BAB72957	alr1000
BAB72958	alr1001
BAB72959	alr1002
BAB72960	all1003
BAB72961	alr1004
BAB72962	asr1005
BAB72963	all1006
BAB72964	all1007
BAB72965	alr1008
BAB72966	all1009
BAB72967	alr1010
BAB72968	all1011
BAB72969	all1012
BAB72970	alr1013
BAB72971	alr1014
BAB72972	alr1015
BAB72973	alr1016
BAB72974	asr1017
BAB72975	alr1018
BAB72976	all1019
BAB72977	all1020
BAB72978	all1021
BAB72979	all1022
BAB72980	all1023
BAB72981	alr1024
BAB72982	asr1025
BAB72983	alr1026
BAB72984	all1027
BAB72985	alr1028
BAB72986	alr1029
BAB72987	alr1030
BAB72988	alr1031
BAB72989	all1032
BAB72990	all1033
BAB72991	all1034
BAB72992	all1035
BAB72993	alr1036
BAB72994	alr1037
BAB72995	asr1038
BAB72996	alr1039
BAB72997	alr1040
BAB72998	alr1041
BAB72999	alr1042
BAB73000	all1043
BAB73001	alr1044
BAB73002	alr1045
BAB73003	
BAB73004	
BAB73005	asr1048
BAB73006	asr1049
BAB73007	alr1050
BAB73008	all1051
BAB73009	alr1052
BAB73010	all1053
BAB73011	alr1054
BAB73012	alr1055
BAB73013	alr1056
BAB73014	alr1057
BAB73015	all1058
BAB73016	all1059
BAB73017	alr1060
BAB73018	all1061
BAB73019	all1062
BAB73020	alr1063
BAB73021	asr1064
BAB73022	all1065
BAB73023	asl1066
BAB73024	alr1067
